address,city,state,zip_code,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
2060 ILLINOIS ST,INDIANAPOLIS,IN,46202,39.794299,-86.159282,1,range_interpolation,2060,N Illinois St,Indianapolis,IN,Marion County,46202,US
1602 COLLEGE AVE,INDIANAPOLIS,IN,46202,39.788493,-86.144898,0.9,range_interpolation,1602,N College Ave,Indianapolis,IN,Marion County,46202,US
1836 CENTRAL AVE,INDIANAPOLIS,IN,46202,39.792035,-86.149632,1,range_interpolation,1836,Central Ave,Indianapolis,IN,Marion County,46202,US
2163 ILLINOIS ST,INDIANAPOLIS,IN,46202,39.796505,-86.158985,1,range_interpolation,2163,N Illinois St,Indianapolis,IN,Marion County,46202,US
1801 BROADWAY ST,INDIANAPOLIS,IN,46202,39.791218,-86.145766,1,range_interpolation,1801,Broadway St,Indianapolis,IN,Marion County,46202,US
1327 CAPITOL AVE,INDIANAPOLIS,IN,46202,39.785257,-86.161077,1,range_interpolation,1327,N Capitol Ave,Indianapolis,IN,Marion County,46202,US
2602 55TH ST,INDIANAPOLIS,IN,46220,39.852791,-86.119009,1,range_interpolation,2602,E 55th St,Indianapolis,IN,Marion County,46220,US
4555 KEYSTONE AVE,INDIANAPOLIS,IN,46205,39.839846,-86.121762,1,range_interpolation,4555,S Keystone Ave,Indianapolis,IN,Marion County,46205,US
5011 KESSLER BLVD EDR,INDIANAPOLIS,IN,46220,39.862203,-86.096541,0.8,street_center,,Kessler Ln,Indianapolis,IN,Marion County,46220,US
4601 KEYSTONE AVE,INDIANAPOLIS,IN,46205,39.840553,-86.121929,1,range_interpolation,4601,S Keystone Ave,Indianapolis,IN,Marion County,46205,US
2825 55TH PL,INDIANAPOLIS,IN,46220,39.853671,-86.117209,1,range_interpolation,2825,E 55th Pl,Indianapolis,IN,Marion County,46220,US
1918 46TH ST,INDIANAPOLIS,IN,46205,39.840363,-86.128794,1,range_interpolation,1918,E 46th St,Indianapolis,IN,Marion County,46205,US
4706 KEYSTONE AVE,INDIANAPOLIS,IN,46205,39.843712,-86.122116,1,range_interpolation,4706,S Keystone Ave,Indianapolis,IN,Marion County,46205,US
1150 46TH ST,INDIANAPOLIS,IN,46205,39.840325,-86.138679,1,range_interpolation,1150,E 46th St,Indianapolis,IN,Marion County,46205,US
5146 BROUSE AVE,INDIANAPOLIS,IN,46205,39.843749,-86.123277,1,range_interpolation,5146,Brouse Ave,Indianapolis,IN,Marion County,46205,US
2048 46TH ST,INDIANAPOLIS,IN,46205,39.840369,-86.126348,1,range_interpolation,2048,E 46th St,Indianapolis,IN,Marion County,46205,US
203 30TH ST,INDIANAPOLIS,IN,46205,39.810076,-86.153181,1,range_interpolation,203,E 30th St,Indianapolis,IN,Marion County,46205,US
906 27TH ST,INDIANAPOLIS,IN,46208,39.805692,-86.175845,1,range_interpolation,906,W 27th St,Indianapolis,IN,Marion County,46208,US
1127 UDELL ST,INDIANAPOLIS,IN,46208,39.807196,-86.180944,1,range_interpolation,1127,Udell St,Indianapolis,IN,Marion County,46208,US
2844 HARDING ST,INDIANAPOLIS,IN,46208,39.80726,-86.187815,1,range_interpolation,2844,Harding Ct,Indianapolis,IN,Marion County,46208,US
1301 30TH ST,INDIANAPOLIS,IN,46208,39.81018,-86.185161,1,range_interpolation,1301,W 30th St,Indianapolis,IN,Marion County,46208,US
1907 GENT AVE,INDIANAPOLIS,IN,46202,39.7932,-86.182933,1,range_interpolation,1907,Gent Ave,Indianapolis,IN,Marion County,46202,US
1352 BURDSAL PKWY,INDIANAPOLIS,IN,46208,39.800451,-86.186665,0.8,range_interpolation,1352,Burdsal Pkwy,Indianapolis,IN,Marion County,46208,US
2101 MONTCALM ST,INDIANAPOLIS,IN,46202,39.795344,-86.180143,1,range_interpolation,2101,Montcalm St,Indianapolis,IN,Marion County,46202,US
1640 MILBURN ST,INDIANAPOLIS,IN,46202,39.789238,-86.179158,1,range_interpolation,1640,Milburn St,Indianapolis,IN,Marion County,46202,US
5750 56TH ST,INDIANAPOLIS,IN,46254,39.853095,-86.263872,1,range_interpolation,5750,E 56th St,Indianapolis,IN,Marion County,46254,US
5670 EDEN VILLAGE DR,INDIANAPOLIS,IN,46254,39.853992,-86.244315,1,range_interpolation,5670,Eden Village Dr,Indianapolis,IN,Marion County,46254,US
3315 56TH ST,INDIANAPOLIS,IN,46228,39.853397,-86.216531,1,range_interpolation,3315,E 56th St,Indianapolis,IN,Marion County,46228,US
3753 WASHINGTON ST,INDIANAPOLIS,IN,46241,39.760744,-86.223778,1,range_interpolation,3753,Washington St,Indianapolis,IN,Marion County,46241,US
3701 16TH ST,INDIANAPOLIS,IN,46222,39.787826,-86.223728,1,range_interpolation,3701,W 16th St,Indianapolis,IN,Marion County,46222,US
3611 16TH ST,INDIANAPOLIS,IN,46222,39.787567,-86.221526,1,range_interpolation,3611,W 16th St,Indianapolis,IN,Marion County,46222,US
2323 16TH ST,INDIANAPOLIS,IN,46222,39.787943,-86.200206,1,range_interpolation,2323,W 16th St,Indianapolis,IN,Marion County,46222,US
3115 16TH ST,INDIANAPOLIS,IN,46222,39.788019,-86.211613,1,range_interpolation,3115,W 16th St,Indianapolis,IN,Marion County,46222,US
1045 TRAUB AVE,INDIANAPOLIS,IN,46222,39.78155,-86.195337,0.9,range_interpolation,1045,N Traub Ave,Indianapolis,IN,Marion County,46222,US
2534 16TH ST,INDIANAPOLIS,IN,46222,39.788117,-86.203213,1,range_interpolation,2534,W 16th St,Indianapolis,IN,Marion County,46222,US
2429 17TH ST,INDIANAPOLIS,IN,46222,39.78878,-86.201775,1,range_interpolation,2429,W 17th St,Indianapolis,IN,Marion County,46222,US
2206 LAFAYETTE RD,INDIANAPOLIS,IN,46222,39.796908,-86.207562,1,range_interpolation,2206,Lafayette Rd,Indianapolis,IN,Marion County,46222,US
2102 LAFAYETTE RD,INDIANAPOLIS,IN,46222,39.795358,-86.205878,1,range_interpolation,2102,Lafayette Rd,Indianapolis,IN,Marion County,46222,US
3730 16TH ST,INDIANAPOLIS,IN,46222,39.787805,-86.224371,1,range_interpolation,3730,W 16th St,Indianapolis,IN,Marion County,46222,US
2102 LAFAYETTE RD,INDIANAPOLIS,IN,46222,39.795358,-86.205878,1,range_interpolation,2102,Lafayette Rd,Indianapolis,IN,Marion County,46222,US
